strategy,regime,count,win_rate,avg_win,avg_loss,payoff_ratio,profit_factor
Time_series_momentum_3M_w_asset_stop,Bear Low Vol,107,0.3333333333333333,0.016414123518816992,-0.01539037604667072,1.066518678233839,0.5332593391169195
Time_series_momentum_3M_w_asset_stop,Bull High Vol,214,0.75,0.04350816078818114,-0.03250062006671769,1.3386870988574076,4.016061296572222
Time_series_momentum_3M_w_asset_stop,Bull Low Vol,486,0.5882352941176471,0.04939253573051332,-0.021772706416691694,2.268552874650775,3.2407898209296784
Vol_adj_time_series_momentum_1M,Bear High Vol,162,0.3333333333333333,0.01863139844100048,-0.03678674029195082,0.5064704916264937,0.25323524581324686
Vol_adj_time_series_momentum_1M,Bear Low Vol,107,0.46153846153846156,0.01895644786221899,-0.012076719916417662,1.5696685849647551,1.3454302156840758
Vol_adj_time_series_momentum_1M,Bull High Vol,214,0.7777777777777778,0.019834696547483346,-0.004733537237989138,4.190248338662982,14.665869185320435
Vol_adj_time_series_momentum_1M,Bull Low Vol,486,0.5666666666666667,0.02064495214543557,-0.01310627754440405,1.575195708735032,2.0598713114227336
Vol_adj_time_series_momentum_1M_w_asset_stop,Bear High Vol,162,0.3333333333333333,0.018194687243693775,-0.033673823560962046,0.5403213926911115,0.27016069634555573
Vol_adj_time_series_momentum_1M_w_asset_stop,Bear Low Vol,107,0.5625,0.011637979908574847,-0.012206203439544991,0.9534479714528398,1.2258616775822226
Vol_adj_time_series_momentum_1M_w_asset_stop,Bull High Vol,214,0.6666666666666666,0.023214373971966778,-0.011288159816572956,2.056524212022946,4.113048424045892
Vol_adj_time_series_momentum_1M_w_asset_stop,Bull Low Vol,486,0.5625,0.019630980519859946,-0.012382383113469906,1.5853959887983768,2.0383662713121993
Vol_adj_time_series_momentum_2M,Bear High Vol,162,0.0,0.0,-0.028931273017419077,0.0,0.0
Vol_adj_time_series_momentum_2M,Bear Low Vol,107,0.375,0.01293280432677609,-0.01504896572567307,0.8593816055221075,0.5156289633132645
Vol_adj_time_series_momentum_2M,Bull High Vol,214,0.75,0.02757989984922809,-0.0008608311039979647,32.03868879869528,96.11606639608586
Vol_adj_time_series_momentum_2M,Bull Low Vol,486,0.5294117647058824,0.027872313555352492,-0.019007498829198707,1.466385125460902,1.6496832661435146
Vol_adj_time_series_momentum_2M_w_asset_stop,Bear High Vol,162,0.23529411764705882,0.025886262353309264,-0.029025916962567656,0.8918327157999058,0.274410066399971
Vol_adj_time_series_momentum_2M_w_asset_stop,Bear Low Vol,107,0.3333333333333333,0.007597369131677689,-0.010727995788639519,0.7081815915441515,0.35409079577207575
Vol_adj_time_series_momentum_2M_w_asset_stop,Bull High Vol,214,0.7333333333333333,0.0246834378143329,-0.010414200322844402,2.3701712132603934,6.517970836466082
Vol_adj_time_series_momentum_2M_w_asset_stop,Bull Low Vol,486,0.5263157894736842,0.02510005529352033,-0.016852209659645696,1.4894222063724336,1.6549135626360372
Vol_adj_time_series_momentum_3M,Bear High Vol,162,0.16666666666666666,0.001331322067093188,-0.04500351865371348,0.029582621690922684,0.005916524338184536
Vol_adj_time_series_momentum_3M,Bear Low Vol,107,0.2857142857142857,0.01765075927077686,-0.017991240813924624,0.981075149475836,0.39243005979033435
Vol_adj_time_series_momentum_3M,Bull High Vol,214,0.7777777777777778,0.037651288596238244,-0.002465324354664844,15.27234683135918,53.45321390975713
Vol_adj_time_series_momentum_3M,Bull Low Vol,486,0.46153846153846156,0.04695667437154927,-0.02333539855253754,2.0122507985381333,1.7247863987469716
Vol_adj_time_series_momentum_3M_w_asset_stop,Bear High Vol,162,0.1875,0.0055774397245618905,-0.022546554591296262,0.24737436941762145,0.057086392942528034
Vol_adj_time_series_momentum_3M_w_asset_stop,Bear Low Vol,107,0.3333333333333333,0.01205028915412143,-0.011299416288071087,1.0664523588570718,0.5332261794285359
Vol_adj_time_series_momentum_3M_w_asset_stop,Bull High Vol,214,0.6666666666666666,0.033852855274290716,-0.012978077543480515,2.608464555776719,5.216929111553438
Vol_adj_time_series_momentum_3M_w_asset_stop,Bull Low Vol,486,0.5294117647058824,0.03235020805255005,-0.011973767683572722,2.7017567826150963,3.0394763804419833
Wei_adj_time_series_momentum_1M,Bear High Vol,162,0.2727272727272727,0.011219658112099426,-0.02398185761678967,0.4678394097479987,0.1754397786554995
Wei_adj_time_series_momentum_1M,Bear Low Vol,107,0.4166666666666667,0.010832735674940697,-0.009882759539482033,1.0961245825787291,0.7829461304133779
Wei_adj_time_series_momentum_1M,Bull High Vol,214,0.7777777777777778,0.019110963913045915,-0.004679545006387259,4.083936341452161,14.293777195082564
Wei_adj_time_series_momentum_1M,Bull Low Vol,486,0.6,0.018766916086742427,-0.012256058280220888,1.5312358718976486,2.296853807846473
Wei_adj_time_series_momentum_1M_w_asset_stop,Bear High Vol,162,0.21428571428571427,0.011136951604581094,-0.022304919893599798,0.4993047120414338,0.13617401237493648
Wei_adj_time_series_momentum_1M_w_asset_stop,Bear Low Vol,107,0.5,0.007504774836735363,-0.010840715592951522,0.692276701882564,0.692276701882564
Wei_adj_time_series_momentum_1M_w_asset_stop,Bull High Vol,214,0.6666666666666666,0.0225373757638123,-0.011347268144635428,1.9861499240649516,3.972299848129903
Wei_adj_time_series_momentum_1M_w_asset_stop,Bull Low Vol,486,0.59375,0.017905156323394778,-0.011541881144152052,1.5513204563249916,2.2673145130903727
Wei_adj_time_series_momentum_2M,Bear High Vol,162,0.0,0.0,-0.02315250065286924,0.0,0.0
Wei_adj_time_series_momentum_2M,Bear Low Vol,107,0.42857142857142855,0.010386129537255226,-0.016743106544960168,0.6203227286026886,0.46524204645201644
Wei_adj_time_series_momentum_2M,Bull High Vol,214,0.8333333333333334,0.023708211923514577,-0.0014541458116280603,16.30387526060463,81.51937630302317
Wei_adj_time_series_momentum_2M,Bull Low Vol,486,0.5882352941176471,0.02432801976684702,-0.013843645276450925,1.7573420353547198,2.510488621935314
Wei_adj_time_series_momentum_2M_w_asset_stop,Bear High Vol,162,0.3125,0.020777264368152748,-0.02854600657762515,0.7278518734889637,0.33084176067680166
