strategy,base_regime,overlay_col,overlay_state,count,annual_return,annual_vol,sharpe,max_drawdown,VaR(95%),skew
Cross_sectional_momentum_1M,Bear Low Vol,high_corr,False,52,-0.2473497496230127,0.11362979302194494,-2.176803662532791,-0.06401128030462666,0.015601059093678584,-1.4379299451945962
Cross_sectional_momentum_1M,Bear Low Vol,high_corr,True,55,-0.20447601621732503,0.10743170628973582,-1.90331163191123,-0.07296929742240943,0.011057171958553137,-0.9628798131120224
Cross_sectional_momentum_1M,Bear Low Vol,strong_breadth,False,52,-0.4048032123746891,0.14198171967303816,-2.8510938824159053,-0.11011755794138822,0.0191714368648669,-0.829459559721206
Cross_sectional_momentum_1M,Bear Low Vol,strong_breadth,True,55,-0.006824614576989463,0.0648447079399633,-0.10524551337802393,-0.042408574069564664,0.006252879278670902,-0.6845394052404213
Cross_sectional_momentum_1M,Bull High Vol,high_corr,False,143,0.47425145120310574,0.2149835167359076,2.205989828446666,-0.1619113996845405,0.01986353086918935,-0.8301049064203623
Cross_sectional_momentum_1M,Bull High Vol,high_corr,True,71,0.7959046644975483,0.2825536541069293,2.8168266555007886,-0.10733622960711364,0.019226368227320073,-2.2657199612436534
Cross_sectional_momentum_1M,Bull High Vol,strong_breadth,False,58,-0.38185093681522286,0.34716116702438343,-1.0999241075497448,-0.20435138152154486,0.0426191980401662,-1.553577424775468
Cross_sectional_momentum_1M,Bull High Vol,strong_breadth,True,156,1.2280549469092379,0.1802011543668142,6.814911653725766,-0.08984153782055859,0.01679216527691961,-0.14432564510620052
Cross_sectional_momentum_1M,Bull Low Vol,high_corr,False,415,0.3174858802509848,0.12659439456394392,2.5078984053327886,-0.06860212383323117,0.013270242887957692,-0.31639753968850115
Cross_sectional_momentum_1M,Bull Low Vol,high_corr,True,71,0.013410964614540388,0.1304076794738597,0.1028387643170096,-0.05212271651093514,0.01447234396782202,-0.27436456374694546
Cross_sectional_momentum_1M,Bull Low Vol,strong_breadth,False,128,-0.4058432904426277,0.14028238296825737,-2.893045312286009,-0.22378704783219683,0.01757382703844155,-0.22101137122431014
Cross_sectional_momentum_1M,Bull Low Vol,strong_breadth,True,358,0.6626427986472991,0.11773525483247739,5.62824448454422,-0.0405515969834247,0.010240455662841132,-0.19988339497101107
Cross_sectional_momentum_1M_w_asset_stop,Bear High Vol,high_corr,False,48,0.16436623390152016,0.08213822646462113,2.001093047368348,-0.036632108199740276,0.009147732517013294,-1.045967734941778
Cross_sectional_momentum_1M_w_asset_stop,Bear High Vol,high_corr,True,114,-0.3514337568570294,0.13937510288855576,-2.5214959456427133,-0.17817187055787198,0.01493102937361633,-0.6509255146837338
Cross_sectional_momentum_1M_w_asset_stop,Bear High Vol,strong_breadth,False,140,-0.26964324457338373,0.13342411178103675,-2.0209483951138996,-0.16379067273705916,0.014908547243140953,-0.7666396243118535
Cross_sectional_momentum_1M_w_asset_stop,Bear High Vol,strong_breadth,True,22,0.09191892654618217,0.058059783021888405,1.583177231501691,-0.013135322265335425,0.0049000676628945345,0.531166322664622
Cross_sectional_momentum_1M_w_asset_stop,Bear Low Vol,high_corr,False,52,-0.17565595341577311,0.058648447082856214,-2.995065720454854,-0.03727654013426107,0.007156666322544403,-1.160551233439005
Cross_sectional_momentum_1M_w_asset_stop,Bear Low Vol,high_corr,True,55,-0.20571015445942697,0.08729457506435584,-2.356505593936073,-0.07093360562077888,0.00854222072234908,-1.210093879297213
Cross_sectional_momentum_1M_w_asset_stop,Bear Low Vol,strong_breadth,False,52,-0.3172470685876704,0.08812546540098032,-3.5999477238975386,-0.07816927299547838,0.010605952350880006,-1.219881781590888
Cross_sectional_momentum_1M_w_asset_stop,Bear Low Vol,strong_breadth,True,55,-0.05079575075714371,0.057676765692822624,-0.8806969348398258,-0.04027488199122731,0.007276556450230828,-0.5971115890473946
Cross_sectional_momentum_1M_w_asset_stop,Bull High Vol,high_corr,False,143,0.2555252226696474,0.1305260583792588,1.9576567762981767,-0.09794803279729569,0.015413335215536193,-0.9048545889300935
Cross_sectional_momentum_1M_w_asset_stop,Bull High Vol,high_corr,True,71,0.48869224708026215,0.16057855090302808,3.04332206469704,-0.06080136597279895,0.011010499325609418,-2.3148061770565067
Cross_sectional_momentum_1M_w_asset_stop,Bull High Vol,strong_breadth,False,58,-0.20298589739415984,0.2070993387412486,-0.9801378344706927,-0.12319780898619015,0.025850312903761614,-1.4352805831355222
Cross_sectional_momentum_1M_w_asset_stop,Bull High Vol,strong_breadth,True,156,0.6064707337422828,0.1049256977291937,5.780001914378913,-0.05684392256184545,0.009559582897136798,-0.2618793621587493
Cross_sectional_momentum_1M_w_asset_stop,Bull Low Vol,high_corr,False,415,0.1734845485080072,0.07676358506186141,2.2599849703241626,-0.05145616292074051,0.008186216450609022,-0.5151019644572731
Cross_sectional_momentum_1M_w_asset_stop,Bull Low Vol,high_corr,True,71,0.004215409821203053,0.07309490528619904,0.057670364366679876,-0.032472955454498575,0.007927509288491102,-0.11919899180897817
Cross_sectional_momentum_1M_w_asset_stop,Bull Low Vol,strong_breadth,False,128,-0.26320418385109445,0.09298223990650473,-2.8306930884408774,-0.1341441530899974,0.01114570422663646,-0.5241317647342085
Cross_sectional_momentum_1M_w_asset_stop,Bull Low Vol,strong_breadth,True,358,0.3437877626136643,0.06667876813976592,5.155880532961375,-0.0234267563615127,0.005622533528456015,0.011228957278039972
Cross_sectional_momentum_2M,Bear High Vol,high_corr,False,48,0.3976754049189386,0.12543702026820847,3.1703192890634053,-0.06371293654477272,0.015213906357631287,-1.0846183400647005
Cross_sectional_momentum_2M,Bear High Vol,high_corr,True,114,-0.36674565647487856,0.21177408614609802,-1.7317777786176787,-0.20546102994634974,0.02030355171178407,-0.8049605912271237
Cross_sectional_momentum_2M,Bear High Vol,strong_breadth,False,140,-0.26850005702782376,0.20182470607174313,-1.3303626808324416,-0.1941882619664469,0.020620395405294905,-0.9157670135850833
Cross_sectional_momentum_2M,Bear High Vol,strong_breadth,True,22,0.42283713169574777,0.09624486702493149,4.393347352084918,-0.012866238011917552,0.007125705994187916,0.980263095378439
Cross_sectional_momentum_2M,Bear Low Vol,high_corr,False,52,-0.08255462285459614,0.08827348585880641,-0.9352142611275417,-0.032246842688956834,0.009448943433467553,-1.2638011184083633
Cross_sectional_momentum_2M,Bear Low Vol,high_corr,True,55,-0.17828643943096745,0.10979412228149256,-1.6238249892273176,-0.0737106025015195,0.011057171958553137,-0.9092682926962442
Cross_sectional_momentum_2M,Bear Low Vol,strong_breadth,False,52,-0.27345076129656165,0.1197628387874368,-2.283268867581709,-0.08169499807249792,0.014078726172421608,-1.030485835114875
Cross_sectional_momentum_2M,Bear Low Vol,strong_breadth,True,55,0.024493805970962512,0.07526456464606499,0.3254360944774708,-0.042408574069564664,0.006810277056683096,-0.27750824947313796
Cross_sectional_momentum_2M,Bull High Vol,high_corr,False,143,0.469072549721508,0.21620453558278144,2.1695777494080706,-0.16378939162794293,0.01986353086918935,-0.8486875548103577
Cross_sectional_momentum_2M,Bull High Vol,high_corr,True,71,0.7848007113912674,0.28215718744190466,2.781430870170038,-0.10721105661580632,0.019226368227320073,-2.281109617329686
Cross_sectional_momentum_2M,Bull High Vol,strong_breadth,False,58,-0.3815544218649113,0.3504726602076216,-1.0886852676008358,-0.2044786730223338,0.04302820512935765,-1.5156575890732316
Cross_sectional_momentum_2M,Bull High Vol,strong_breadth,True,156,1.2142241958044222,0.1789528840799548,6.78516136829578,-0.08984153782055837,0.01679216527691961,-0.17341681330989592
Cross_sectional_momentum_2M,Bull Low Vol,high_corr,False,415,0.28198718168400205,0.12432163970776361,2.2682067445929333,-0.07964974059538354,0.012029538792797917,-0.21810234891014044
